product_id,product_name,rating_count,avg_rating,helpful_votes,weighted_avg_rating,star_1_count,star_2_count,star_3_count,star_4_count,star_5_count
17,eFootball™,221,2.94,30717,3.62,47,49,36,48,41
174,Bluesky,386,3.09,2708,3.15,135,25,41,40,145
175,Alibaba.com - B2B marketplace,704,2.91,101726,3.43,154,155,133,127,135
176,Domino's Pizza USA,722,2.95,1386,2.82,156,140,148,139,139
177,Talkie: Creative AI Community,591,2.96,18697,3.7,139,147,36,136,133
178,NCAA March Madness Live,399,2.87,486,2.69,154,43,31,42,129
179,U-Haul,276,2.45,741,1.7,133,42,17,13,71
18,Dream League Soccer 2025,226,2.96,31947,3.46,45,45,48,49,39
18,Google Wallet,607,2.75,11255,2.8,139,116,156,152,44
180,BURGER KING® App,149,1.0,1505,1.0,149,0,0,0,0
183,Hero Wars: Alliance,237,2.96,12095,1.91,48,54,43,44,48
184,MARVEL Puzzle Quest: Match RPG,244,2.98,3790,3.5,45,54,48,54,43
186,Shadow of the Depth,3,5.0,6,5.0,0,0,0,0,3
187,LEVELS II,2,4.0,1,4.0,0,0,0,2,0
188,The Past Within,58,4.47,154,4.79,3,1,3,10,41
189,Endless Nightmare 6: Reborn,13,3.54,10,3.13,4,1,0,0,8
19,Match Masters,244,2.88,5342,2.01,58,51,43,46,46
190,DARK AND DARKER MOBILE,69,2.8,192,2.51,27,7,8,7,20
191,Dicey Dungeons,19,3.63,106,3.3,4,1,2,3,9
192,Monument Valley 2,156,3.8,677,4.28,10,13,35,38,60
193,Electric Blue: Gecko dash!,3,3.33,167,2.24,1,0,0,1,1
194,Florence,71,4.42,156,3.34,3,4,2,13,49
195,The Abandoned Planet,31,4.48,5,4.17,1,1,2,5,22
196,GRIS,36,4.28,633,3.91,3,2,3,2,26
197,Cookies Must Die,97,4.07,267,4.07,11,4,5,24,53
198,Sky: Children of the Light,224,2.97,6911,3.77,51,42,40,44,47
199,Thimbleweed Park,57,4.67,943,4.65,1,2,4,1,49
2,"Priceline: Hotel, Flight & Car",64,1.0,1036,1.0,64,0,0,0,0
2,Word Collect - Word Games Fun,223,3.13,4956,2.57,40,37,49,47,50
20,Genshin Impact,241,3.06,15592,1.81,49,36,54,55,47
200,Delicious: The First Course,10,3.8,8,3.17,1,2,0,2,5
201,Leo's Fortune,91,3.87,429,3.7,12,6,10,17,46
202,Ordia,16,4.75,66,4.95,1,0,0,0,15
203,Dungeons of Dreadrock,102,3.55,174,4.0,19,6,15,24,38
204,The Vault: Logic Puzzle Box,10,4.2,2,4.33,1,0,2,0,7
205,"Please, Touch The Artwork",8,4.25,28,3.56,1,0,1,0,6
206,Shadow Trick,5,4.4,18,4.09,0,0,1,1,3
207,The Battle of Polytopia,232,2.98,1859,3.27,43,50,51,45,43
208,Balatro,85,4.09,352,4.42,10,4,6,13,52
209,Vampire: The Masquerade - CoNY,1,5.0,0,5.0,0,0,0,0,1
21,Five Nights at Freddy's,215,3.0,5532,4.56,55,23,46,48,43
210,Superliminal,16,3.38,276,3.51,5,1,0,3,7
211,Running Fable,1,1.0,0,1.0,1,0,0,0,0
212,Reigns,141,3.8,389,3.31,12,8,23,51,47
213,Brewtopia: Grow Coffee Beans,1,1.0,0,1.0,1,0,0,0,0
214,The White Door,65,4.37,980,4.44,4,3,7,2,49
214,TikTok Studio,69,1.19,9685,1.04,56,13,0,0,0
215,Okta Verify,161,2.42,431,2.16,86,12,14,7,42
215,purple,11,4.45,7,4.22,1,0,1,0,9
216,Idle Pocket Planet,37,4.05,14,4.16,4,1,6,4,22
216,Smart Home Manager,637,3.32,1857,2.53,185,42,38,125,247
217,Frontier Airlines,440,2.21,889,1.88,250,44,36,23,87
217,K-Pop Academy,34,4.03,384,4.45,5,1,3,4,21
218,"Good Coffee, Great Coffee",223,3.08,1098,2.21,45,35,48,47,48
219,Zoo Restaurant,1,2.0,0,2.0,0,1,0,0,0
22,Total Battle: War Strategy,214,2.94,3926,2.24,55,39,33,37,50
220,Meow Tower: Nonogram (Offline),112,3.87,332,3.83,14,6,10,33,49
221,Lemmings: Puzzle Survival,212,3.0,1996,3.42,35,51,41,49,36
222,Toy Match 3D: Triple Match,28,4.04,84,4.29,3,1,4,4,16
223,Triple Tile: Match Puzzle Game,204,3.04,3462,2.12,46,34,37,40,47
224,Tales of Wind: Radiant Rebirth,19,3.47,66,2.58,5,2,0,3,9
225,Shambles: Sons of Apocalypse,1,5.0,0,5.0,0,0,0,0,1
226,Simon's Cat Match!,16,4.44,32,3.6,1,0,2,1,12
227,Dopples World,21,3.9,125,3.18,3,1,2,4,11
228,Lucky Offense,19,2.79,7,2.62,7,1,4,3,4
229,Idle Airport Empire,4,2.25,2,2.5,2,1,0,0,1
23,Geometry Dash Lite,223,2.99,21314,4.43,43,46,44,50,40
230,Frozen War: Endless Frost,14,4.07,3,3.53,2,0,1,3,8
231,Deadly Dudes,35,3.71,23,3.53,8,2,2,3,20
232,E.T.E Chronicle,31,4.13,5,3.89,2,3,3,4,19
233,Mythical Odyssey: Nezha Reborn,5,3.2,6,3.73,2,0,0,1,2
234,Lands of Jail,22,3.64,63,2.51,6,1,1,1,13
235,Pondlife — Relaxing Fish Game,33,4.52,3,4.47,0,2,3,4,24
236,Ash N Veil : Fast Idle Action,1,5.0,0,5.0,0,0,0,0,1
237,Birds Camp——Casual TD Game,1,5.0,0,5.0,0,0,0,0,1
238,Real Cricket Swipe,38,3.84,343,4.55,7,2,3,4,22
239,Word Bend,5,5.0,2,5.0,0,0,0,0,5
24,Legend of Mushroom,139,2.9,523,2.08,46,23,10,19,41
240,Adorable Garden,3,5.0,3,5.0,0,0,0,0,3
241,Idle Weapon Shop,41,2.56,38,2.06,19,7,0,3,12
242,Element Fission,2,5.0,1,5.0,0,0,0,0,2
243,Sloppy Capy Life,1,3.0,10,3.0,0,0,1,0,0
244,Kitty’s Kitchen Diary,7,3.14,11,3.06,2,0,2,1,2
245,My Cat - Virtual pet simulator,129,3.09,3102,2.62,47,10,8,12,52
246,My Talking Tom,263,2.85,71052,3.44,64,54,44,60,41
247,Hunter Raid: Idle RPG Games,35,3.63,64,3.55,7,1,7,3,17
248,Tizi Princess Home Design Game,111,3.61,1628,3.38,23,5,10,27,46
249,Differences - Find Difference,115,3.18,271,3.35,34,9,11,24,37
25,Pokémon TCG Pocket - Card Game,244,2.95,3163,3.27,56,39,58,43,48
250,Blockudoku®: Block Puzzle Game,238,2.98,3580,2.79,51,44,47,50,46
251,No Limit Drag Racing 2,203,3.1,1933,4.16,42,32,38,46,45
252,Drive Zone: Car Simulator Game,228,3.09,1875,3.48,47,38,45,43,55
253,Big Rig Racing: Drag racing,124,3.44,478,3.48,24,11,9,46,34
254,Words of Wonders: Crossword,210,2.96,5367,3.23,40,47,44,40,39
255,My Home Design - Modern City,231,3.0,8676,2.94,53,43,37,48,50
256,The Legend of Neverland,208,3.19,2170,3.02,42,22,46,51,47
257,Immortal Awakening,96,3.42,561,3.08,28,8,4,8,48
258,Bit Heroes Quest: Pixel RPG,238,3.03,925,3.39,54,42,30,67,45
259,Mr Autofire,237,3.16,1040,2.88,43,47,32,60,55
26,Frost & Flame: King of Avalon,264,3.03,4372,2.65,50,50,54,63,47
260,Chaos Road: Combat Car Racing,129,3.37,4389,2.82,31,7,16,33,42
261,Bullet Echo: PVP Shooter,254,3.1,3374,2.96,46,47,54,50,57
262,Jurassic World™: The Game,36,1.0,217,1.0,36,0,0,0,0
267,Solitaire Dragons,194,3.11,488,3.1,40,24,46,43,41
268,Battle Strategy: Tower Defense,126,3.42,129,2.92,29,15,8,22,52
269,Grand War 2: Strategy Games,45,4.24,43,3.15,6,2,1,2,34
27,Whiteout Survival,232,2.98,2523,3.11,46,48,49,43,46
270,Nightfall: Kingdom Frontier TD,84,4.05,34,3.55,8,6,9,12,49
271,Tile Explorer - Triple Match,70,4.16,527,4.59,10,3,3,4,50
272,One State RP - Role Play Life,112,3.12,376,2.84,37,13,6,11,45
273,Decor Life - Home Design Game,238,2.93,4942,3.53,47,52,53,43,43
274,Rollance : Adventure Balls,107,3.2,2015,3.11,31,7,19,10,40
275,Snake.io - Fun Snake .io Games,229,2.96,4035,3.43,44,50,41,59,35
276,Gold & Goblins: Idle Merger,251,3.16,3019,2.46,45,49,39,57,61
277,My Talking Angela 2,225,2.98,44473,2.58,42,44,55,45,39
278,Kick the Buddy: Second Kick,236,3.1,3866,3.51,37,51,48,52,48
279,Tower War - Tactical Conquest,246,3.13,2858,3.3,41,42,61,47,55
28,Geometry Dash,248,3.01,6637,4.27,49,40,59,59,41
280,The Godfather: Family Dynasty,121,2.5,528,2.08,41,19,21,40,0
29,Puzzles & Survival,235,3.15,4369,2.05,32,49,54,52,48
3,Tap Away,231,3.0,3325,2.09,49,42,44,52,44
30,Last War:Survival Game,235,2.97,2908,1.98,51,41,54,41,48
31,MARVEL Strike Force: Squad RPG,228,3.05,5445,2.84,37,46,58,42,45
32,MONOPOLY,179,2.44,3582,1.96,44,54,39,42,0
332,Dark War Survival,241,2.93,1126,2.43,50,45,59,47,40
333,Idle Outpost: Upgrade Games,208,3.03,746,2.84,54,31,35,30,58
334,Zombie.io - Shooting RPG,119,3.04,112,2.9,33,21,13,12,40
335,Zombie Hunt: Apocalypse Games,48,4.38,89,3.39,5,1,2,3,37
4,Sudoku - Classic Sudoku Puzzle,241,3.22,2760,2.41,42,42,44,46,67
5,Woodber - Classic Number Game,182,3.27,124,3.08,30,25,43,34,50
50,Robbery Bob 2: Double Trouble,225,2.98,10266,4.02,45,40,56,43,41
51,Kick the Buddy－Fun Action Game,238,2.97,18625,3.19,44,54,50,45,45
52,Sudoku - Classic Sudoku Puzzle,263,3.13,1358,3.02,50,48,44,59,62
53,Supreme Duelist,254,2.9,6930,4.27,57,57,46,42,52
54,Happy Color®: Coloring Book,251,2.96,5038,2.91,49,51,58,47,46
55,Top Troops: Adventure RPG,142,3.34,669,2.38,32,20,15,18,57
55,Workday,705,3.03,684,2.56,150,141,114,138,162
56,Fruit Diary - Match 3 Games,55,4.2,436,2.78,4,4,2,12,33
56,Google Calendar,720,3.03,11644,3.09,134,150,140,153,143
57,Pou,215,3.2,9670,4.22,34,44,38,43,56
57,Taco Bell Fast Food & Delivery,693,2.97,1884,2.61,145,144,134,126,144
58,Subway®,716,2.97,2571,2.73,163,126,147,131,149
59,Woodoku Blast,72,4.26,289,3.15,4,5,6,10,47
59,Xbox,265,1.52,5405,1.4,128,137,0,0,0
6,AXS Tickets,293,2.7,1043,1.51,139,22,17,17,98
6,"NYT Games: Word, Number, Logic",198,2.98,651,2.56,41,41,39,35,42
60,Killer Sudoku - Sudoku Puzzle,38,3.92,28,3.24,6,3,1,6,22
61,TDS - Tower Destiny Survive,169,3.02,240,2.3,46,26,19,35,43
7,IMDb: Movies & TV Shows,690,3.05,12777,3.03,119,139,153,149,130
7,Qblock: Wood Block Puzzle Game,124,1.89,1360,2.02,47,44,33,0,0
8,Wingstop,435,3.21,300,3.13,139,20,33,97,146
8,World of Kungfu: Dragon&Eagle,8,4.25,7,3.93,1,0,0,2,5
9,Panda Express,465,2.91,979,2.9,156,59,53,63,134
9,Pocket Hockey Stars,4,2.25,0,2.25,2,1,0,0,1
94,Planet Fitness Workouts,447,3.02,1680,2.66,138,59,48,58,144
95,Gauth: AI Study Companion,657,3.13,12051,3.49,141,82,144,132,158
96,Local News: Breaking & Latest,205,4.19,4721,3.78,25,9,9,22,140
97,"Nike: Shoes, Apparel & Stories",758,3.01,8263,3.11,145,163,144,152,154
98,YouTube TV: Live TV & more,659,3.02,12905,2.37,121,135,137,140,126
99,Amazon Alexa,418,2.16,4362,2.4,122,125,154,17,0
99,Bubble POP GO! Puzzle Game,225,2.94,4515,3.09,44,56,40,39,46
